"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","TestAddMember","","Fri Dec 13 16:41:39 GMT 2024","skipped","Fri Dec 13 16:41:39 GMT 2024","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","1","TestWorkspaceApproval","","Fri Dec 13 16:41:39 GMT 2024","skipped","Fri Dec 13 16:41:39 GMT 2024","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","3081","TestAddNewWorkspace","","Fri Dec 13 16:41:36 GMT 2024","passed","Fri Dec 13 16:41:39 GMT 2024","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspace","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspace",""
"","1","TestRequestAWorkspace","","Fri Dec 13 16:41:39 GMT 2024","skipped","Fri Dec 13 16:41:39 GMT 2024","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","1","TestAddNewCategoryAndNewWorkspaceType","","Fri Dec 13 16:41:39 GMT 2024","skipped","Fri Dec 13 16:41:39 GMT 2024","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","3026","TestAddNewWorkspace","","Fri Dec 13 16:41:36 GMT 2024","passed","Fri Dec 13 16:41:39 GMT 2024","","Smoke Test Suite","CreateANewWorkspace","TestAddNewWorkspace"
