"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","TestAddMember","","Fri Dec 13 16:44:35 GMT 2024","skipped","Fri Dec 13 16:44:35 GMT 2024","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","783","TestAddNewWorkspace","","Fri Dec 13 16:44:34 GMT 2024","passed","Fri Dec 13 16:44:35 GMT 2024","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspace","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspace",""
"","1","TestWorkspaceApproval","","Fri Dec 13 16:44:35 GMT 2024","skipped","Fri Dec 13 16:44:35 GMT 2024","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","1","TestRequestAWorkspace","","Fri Dec 13 16:44:35 GMT 2024","skipped","Fri Dec 13 16:44:35 GMT 2024","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","748","TestAddNewWorkspace","","Fri Dec 13 16:44:34 GMT 2024","passed","Fri Dec 13 16:44:35 GMT 2024","","Smoke Test Suite","CreateANewWorkspace","TestAddNewWorkspace"
"","1","TestAddNewCategoryAndNewWorkspaceType","","Fri Dec 13 16:44:35 GMT 2024","skipped","Fri Dec 13 16:44:35 GMT 2024","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
