"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","TestAddMember","","Fri Jun 06 10:29:33 GMT 2025","skipped","Fri Jun 06 10:29:33 GMT 2025","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","10071","TestAddNewWorkspace","","Fri Jun 06 10:29:22 GMT 2025","passed","Fri Jun 06 10:29:33 GMT 2025","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspace","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspace",""
"","1","TestAddNewCategoryAndNewWorkspaceType","","Fri Jun 06 10:29:33 GMT 2025","skipped","Fri Jun 06 10:29:33 GMT 2025","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","10041","TestAddNewWorkspace","","Fri Jun 06 10:29:22 GMT 2025","passed","Fri Jun 06 10:29:32 GMT 2025","","Smoke Test Suite","CreateANewWorkspace","TestAddNewWorkspace"
"","1","TestWorkspaceApproval","","Fri Jun 06 10:29:33 GMT 2025","skipped","Fri Jun 06 10:29:33 GMT 2025","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","1","TestRequestAWorkspace","","Fri Jun 06 10:29:33 GMT 2025","skipped","Fri Jun 06 10:29:33 GMT 2025","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
