"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9139","TestAddNewWorkspace","","Mon Jun 09 04:44:56 UTC 2025","passed","Mon Jun 09 04:45:06 UTC 2025","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspace","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspace",""
"","1","TestWorkspaceApproval","","Mon Jun 09 04:45:06 UTC 2025","skipped","Mon Jun 09 04:45:06 UTC 2025","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","9106","TestAddNewWorkspace","","Mon Jun 09 04:44:56 UTC 2025","passed","Mon Jun 09 04:45:06 UTC 2025","","Smoke Test Suite","CreateANewWorkspace","TestAddNewWorkspace"
"","1","TestAddNewCategoryAndNewWorkspaceType","","Mon Jun 09 04:45:06 UTC 2025","skipped","Mon Jun 09 04:45:06 UTC 2025","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","1","TestRequestAWorkspace","","Mon Jun 09 04:45:06 UTC 2025","skipped","Mon Jun 09 04:45:06 UTC 2025","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","1","TestAddMember","","Mon Jun 09 04:45:06 UTC 2025","skipped","Mon Jun 09 04:45:06 UTC 2025","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
