"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","TestAddNewCategoryAndNewWorkspaceType","","Fri Jun 06 10:40:06 GMT 2025","skipped","Fri Jun 06 10:40:06 GMT 2025","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","2","TestWorkspaceApproval","","Fri Jun 06 10:40:06 GMT 2025","skipped","Fri Jun 06 10:40:06 GMT 2025","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","7307","TestAddNewWorkspace","","Fri Jun 06 10:39:59 GMT 2025","passed","Fri Jun 06 10:40:06 GMT 2025","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspace","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspace",""
"","2","TestRequestAWorkspace","","Fri Jun 06 10:40:06 GMT 2025","skipped","Fri Jun 06 10:40:06 GMT 2025","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","2","TestAddMember","","Fri Jun 06 10:40:06 GMT 2025","skipped","Fri Jun 06 10:40:06 GMT 2025","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","7277","TestAddNewWorkspace","","Fri Jun 06 10:39:59 GMT 2025","passed","Fri Jun 06 10:40:06 GMT 2025","","Smoke Test Suite","CreateANewWorkspace","TestAddNewWorkspace"
