"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","TestAddNewCategoryAndNewWorkspaceType","","Fri Jun 06 10:17:21 GMT 2025","skipped","Fri Jun 06 10:17:21 GMT 2025","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","639","TestAddNewWorkspace","","Fri Jun 06 10:17:20 GMT 2025","broken","Fri Jun 06 10:17:21 GMT 2025","","Smoke Test Suite","CreateANewWorkspace","TestAddNewWorkspace"
"","676","TestAddNewWorkspace","","Fri Jun 06 10:17:20 GMT 2025","failed","Fri Jun 06 10:17:21 GMT 2025","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspace","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspace",""
"","1","TestAddMember","","Fri Jun 06 10:17:21 GMT 2025","skipped","Fri Jun 06 10:17:21 GMT 2025","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","1","TestRequestAWorkspace","","Fri Jun 06 10:17:21 GMT 2025","skipped","Fri Jun 06 10:17:21 GMT 2025","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","1","TestWorkspaceApproval","","Fri Jun 06 10:17:21 GMT 2025","skipped","Fri Jun 06 10:17:21 GMT 2025","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
