"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","TestAddMember","","Fri Jun 06 10:22:31 GMT 2025","skipped","Fri Jun 06 10:22:31 GMT 2025","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","2","TestWorkspaceApproval","","Fri Jun 06 10:22:31 GMT 2025","skipped","Fri Jun 06 10:22:31 GMT 2025","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","2","TestRequestAWorkspace","","Fri Jun 06 10:22:31 GMT 2025","skipped","Fri Jun 06 10:22:31 GMT 2025","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","1","TestAddNewCategoryAndNewWorkspaceType","","Fri Jun 06 10:22:31 GMT 2025","skipped","Fri Jun 06 10:22:31 GMT 2025","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","2144","TestAddNewWorkspace","","Fri Jun 06 10:22:29 GMT 2025","broken","Fri Jun 06 10:22:31 GMT 2025","","Smoke Test Suite","CreateANewWorkspace","TestAddNewWorkspace"
"","2211","TestAddNewWorkspace","","Fri Jun 06 10:22:29 GMT 2025","failed","Fri Jun 06 10:22:31 GMT 2025","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspace","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspace",""
