"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","TestWorkspaceApproval","","Thu Dec 12 16:05:43 GMT 2024","skipped","Thu Dec 12 16:05:43 GMT 2024","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","8","TestRequestAWorkspace","","Thu Dec 12 16:05:43 GMT 2024","skipped","Thu Dec 12 16:05:43 GMT 2024","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","527","TestAddNewWorkspace","","Thu Dec 12 16:05:43 GMT 2024","failed","Thu Dec 12 16:05:43 GMT 2024","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspace","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspace",""
"","8","TestAddMember","","Thu Dec 12 16:05:43 GMT 2024","skipped","Thu Dec 12 16:05:43 GMT 2024","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","8","TestAddNewCategoryAndNewWorkspaceType","","Thu Dec 12 16:05:43 GMT 2024","skipped","Thu Dec 12 16:05:43 GMT 2024","","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission","PortalTalk.AutomationTest.Tests.SmokeTest.CreateANewWorkspaceByRequestPermission",""
"","491","TestAddNewWorkspace","","Thu Dec 12 16:05:43 GMT 2024","broken","Thu Dec 12 16:05:43 GMT 2024","","Smoke Test Suite","CreateANewWorkspace","TestAddNewWorkspace"
